country_name,country_code,counterpart_area,Y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
Peru,PER,World,39.9,48.03,59.53,86.18,90.02,88.88,104.88,108.7,104.12,103.48,92.04,91.68,88.79,94.41,90.36,106.52,101.93,90.54,81.44,79.27,
Philippines,PHL,World,26.54,31.52,39.88,57.05,64.46,79.05,95.45,113.92,120.87,125.69,103.08,105.77,107.82,111.51,100.25,105.01,111.79,102.2,86.42,85.46,
Rwanda,RWA,World,18.83,16.83,88.05,126.6,82.82,91.69,65.38,49.13,26.15,28.27,32.48,26.59,23.47,23.23,23.85,22.48,20.99,20.04,17.81,16.11,
Samoa,WSM,World,48.8,45.69,45.88,48.09,39.52,57.13,53.23,34.76,30.35,27.56,21.02,24.07,20.01,26.13,36.41,40.76,58.05,58.28,68.23,103.37,
Sao Tome and Principe,STP,World,5.4,7.96,9.72,23.67,46.53,42.46,26.6,22.69,26.19,30.39,28.37,30.62,25.85,22.19,17.56,17.02,23.77,22.64,15.29,10.18,
Senegal,SEN,World,34.71,30.71,68.9,64.2,56.2,57.06,44.03,33.52,29.28,27.54,18.94,19.2,14.32,12.5,13.45,0,0,0,0,0,
Serbia,SRB,World,0,0,59.76,54.23,37.64,45.06,40.45,49.29,41.91,43.3,37.52,37.5,38.54,38.48,41.46,46.7,43.59,45.22,46.49,56.26,
Sierra Leone,SLE,World,7.43,9.45,12.03,39.3,34.74,47.26,43.92,41.8,35.8,38.05,41.92,37.16,30.61,30.6,27.34,27.47,32.24,37.36,26.02,20.81,
Solomon Islands,SLB,World,44.43,56.65,59.67,67.59,53.22,84.66,115.2,160.1,218.93,260.59,270.33,257.43,199.52,177.94,194.56,187.11,204.9,154.81,138.6,130.36,
Somalia,SOM,World,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
South Africa,ZAF,World,33.45,45.75,44.16,45.25,45.87,47.02,38.01,39.37,34.26,35.08,32.88,35.94,32.79,28.98,28.66,28.87,31.36,33.99,35.27,37.71,
South Asia,SAS,World,75.44,81.19,84.43,104.08,85.56,85.19,83.55,74.49,64.91,60.43,62.9,66.09,69.5,68.01,62.42,66.61,81.36,78.54,67.36,70.28,
Sri Lanka,LKA,World,19.01,24.2,23.93,24.77,15.69,27.47,33.19,26.16,19.88,19.06,19.42,16.63,12.9,15.68,13.07,13.62,9.96,5.34,3.23,7.14,
St. Lucia,LCA,World,36.54,27.53,35.81,31.96,17.04,39.83,35.27,46.82,53.61,40.1,47.97,59.92,56.2,51.74,46.44,40.83,31.53,48.52,42.79,39.06,
